I0,I1,I2
-0.2069,0.1084,-0.1644
-0.2077,0.1088,-0.1650
-0.2083,0.1081,-0.1642
-0.2083,0.1083,-0.1650
-0.2086,0.1075,-0.1644
-0.2093,0.1089,-0.1648
-0.2107,0.1089,-0.1641
-0.2122,0.1098,-0.1637
-0.2120,0.1088,-0.1635
-0.2111,0.1091,-0.1620
-0.2106,0.1095,-0.1627
-0.2108,0.1077,-0.1616
-0.2099,0.1065,-0.1623
-0.2107,0.1064,-0.1622
-0.2112,0.1068,-0.1616
-0.2112,0.1076,-0.1621
-0.2127,0.1070,-0.1589
-0.2135,0.1076,-0.1587
-0.2137,0.1084,-0.1595
-0.2142,0.1101,-0.1588
-0.2122,0.1097,-0.1591
-0.2121,0.1092,-0.1582
-0.2121,0.1122,-0.1585
-0.2132,0.1123,-0.1576
-0.2138,0.1099,-0.1585
-0.2145,0.1103,-0.1585
-0.2139,0.1085,-0.1586
-0.2150,0.1096,-0.1589
-0.2146,0.1087,-0.1585
-0.2144,0.1072,-0.1589
-0.2141,0.1070,-0.1597
-0.2155,0.1067,-0.1594
-0.2155,0.1066,-0.1611
-0.2143,0.1067,-0.1605
-0.2135,0.1063,-0.1612
-0.2133,0.1047,-0.1613
-0.2142,0.1034,-0.1613
-0.2144,0.1006,-0.1617
-0.2148,0.0993,-0.1611
-0.2150,0.0997,-0.1610
-0.2152,0.0968,-0.1618
-0.2150,0.0975,-0.1601
-0.2153,0.0980,-0.1600
-0.2144,0.0977,-0.1591
-0.2146,0.0985,-0.1585
-0.2144,0.1015,-0.1580
-0.2149,0.1025,-0.1579
-0.2138,0.1024,-0.1564
-0.2127,0.1008,-0.1576
-0.2114,0.1023,-0.1580
-0.2112,0.1048,-0.1592
-0.2112,0.1062,-0.1589
-0.2130,0.1056,-0.1583
-0.2131,0.1042,-0.1571
-0.2128,0.1066,-0.1582
-0.2130,0.1081,-0.1580
-0.2122,0.1085,-0.1565
-0.2112,0.1092,-0.1565
-0.2107,0.1101,-0.1564
-0.2114,0.1117,-0.1551
-0.2115,0.1119,-0.1539
-0.2116,0.1120,-0.1536
-0.2114,0.1128,-0.1544
-0.2113,0.1126,-0.1543
-0.2112,0.1116,-0.1536
-0.2115,0.1118,-0.1536
-0.2125,0.1099,-0.1548
-0.2132,0.1102,-0.1550
-0.2126,0.1106,-0.1558
-0.2127,0.1108,-0.1568
-0.2114,0.1111,-0.1554
-0.2123,0.1130,-0.1556
-0.2131,0.1144,-0.1559
-0.2130,0.1152,-0.1570
-0.2145,0.1159,-0.1566
-0.2138,0.1168,-0.1554
-0.2144,0.1180,-0.1543
-0.2144,0.1190,-0.1546
-0.2139,0.1203,-0.1550
-0.2144,0.1186,-0.1547
-0.2140,0.1200,-0.1545
-0.2122,0.1206,-0.1550
-0.2128,0.1200,-0.1537
-0.2126,0.1203,-0.1536
-0.2118,0.1196,-0.1539
-0.2111,0.1193,-0.1537
-0.2105,0.1190,-0.1541
-0.2103,0.1192,-0.1540
-0.2104,0.1193,-0.1533
-0.2116,0.1212,-0.1530
-0.2116,0.1211,-0.1533
-0.2114,0.1210,-0.1532
-0.2116,0.1222,-0.1531
-0.2111,0.1216,-0.1551
-0.2109,0.1218,-0.1546
-0.2100,0.1211,-0.1539
-0.2102,0.1232,-0.1539
-0.2110,0.1259,-0.1541
-0.2122,0.1268,-0.1534
-0.2119,0.1247,-0.1545
-0.2109,0.1259,-0.1553
-0.2101,0.1251,-0.1541
-0.2091,0.1236,-0.1543
-0.2091,0.1206,-0.1555
-0.2102,0.1214,-0.1563
-0.2112,0.1193,-0.1568
-0.2124,0.1212,-0.1573
-0.2118,0.1206,-0.1573
-0.2103,0.1200,-0.1575
-0.2097,0.1214,-0.1565
-0.2094,0.1213,-0.1556
-0.2104,0.1224,-0.1560
-0.2106,0.1239,-0.1563
-0.2109,0.1248,-0.1574
-0.2115,0.1265,-0.1590
-0.2119,0.1273,-0.1583
-0.2112,0.1275,-0.1582
-0.2102,0.1281,-0.1568
-0.2107,0.1272,-0.1546
-0.2117,0.1291,-0.1558
-0.2129,0.1288,-0.1544
-0.2136,0.1288,-0.1541
-0.2133,0.1286,-0.1542
-0.2122,0.1271,-0.1545
-0.2115,0.1273,-0.1544
-0.2112,0.1265,-0.1543
-0.2113,0.1296,-0.1546
-0.2115,0.1304,-0.1550
-0.2110,0.1307,-0.1557
-0.2088,0.1336,-0.1551
-0.2075,0.1349,-0.1541
-0.2052,0.1361,-0.1542
-0.2043,0.1373,-0.1546
-0.2045,0.1370,-0.1563
-0.2054,0.1372,-0.1554
-0.2061,0.1388,-0.1551
-0.2073,0.1376,-0.1562
-0.2064,0.1378,-0.1561
-0.2062,0.1367,-0.1565
-0.2060,0.1354,-0.1575
-0.2056,0.1361,-0.1561
-0.2057,0.1359,-0.1551
-0.2052,0.1357,-0.1556
-0.2056,0.1373,-0.1554
-0.2052,0.1373,-0.1551
-0.2045,0.1393,-0.1548
-0.2036,0.1400,-0.1551
-0.2037,0.1388,-0.1546
-0.2045,0.1369,-0.1549
-0.2047,0.1370,-0.1553
-0.2046,0.1391,-0.1554
-0.2052,0.1383,-0.1559
-0.2051,0.1404,-0.1539
-0.2057,0.1417,-0.1548
-0.2072,0.1395,-0.1541
-0.2077,0.1390,-0.1542
-0.2088,0.1402,-0.1555
-0.2096,0.1400,-0.1554
-0.2094,0.1388,-0.1556
-0.2078,0.1380,-0.1549
-0.2073,0.1391,-0.1556
-0.2075,0.1394,-0.1567
-0.2093,0.1393,-0.1567
-0.2101,0.1386,-0.1560
-0.2092,0.1370,-0.1544
-0.2097,0.1381,-0.1542
-0.2093,0.1382,-0.1554
-0.2094,0.1353,-0.1554
-0.2093,0.1356,-0.1567
-0.2079,0.1360,-0.1586
-0.2091,0.1342,-0.1572
-0.2086,0.1336,-0.1574
-0.2080,0.1333,-0.1574
-0.2074,0.1341,-0.1579
-0.2067,0.1345,-0.1565
-0.2073,0.1339,-0.1580
-0.2076,0.1350,-0.1586
-0.2084,0.1353,-0.1584
-0.2082,0.1350,-0.1583
-0.2093,0.1335,-0.1592
-0.2088,0.1326,-0.1602
-0.2091,0.1322,-0.1595
-0.2081,0.1325,-0.1591
-0.2068,0.1329,-0.1605
-0.2071,0.1341,-0.1586
-0.2075,0.1351,-0.1597
-0.2078,0.1343,-0.1598
-0.2074,0.1348,-0.1590
-0.2045,0.1340,-0.1605
-0.2042,0.1333,-0.1600
-0.2041,0.1345,-0.1589
-0.2038,0.1351,-0.1594
-0.2030,0.1360,-0.1590
-0.2042,0.1354,-0.1590
-0.2039,0.1353,-0.1579
-0.2043,0.1357,-0.1573
-0.2045,0.1387,-0.1573
-0.2040,0.1381,-0.1580
-0.2043,0.1385,-0.1570
-0.2050,0.1373,-0.1572
-0.2052,0.1386,-0.1574
-0.2066,0.1392,-0.1568
-0.2068,0.1397,-0.1578
-0.2072,0.1410,-0.1566
-0.2082,0.1407,-0.1572
-0.2095,0.1425,-0.1580
-0.2120,0.1436,-0.1569
-0.2127,0.1435,-0.1550
-0.2127,0.1428,-0.1550
-0.2130,0.1420,-0.1542
-0.2133,0.1408,-0.1551
-0.2129,0.1399,-0.1560
-0.2116,0.1394,-0.1554
-0.2112,0.1407,-0.1551
-0.2114,0.1412,-0.1542
-0.2118,0.1423,-0.1536
-0.2111,0.1417,-0.1537
-0.2101,0.1424,-0.1553
-0.2107,0.1425,-0.1536
-0.2105,0.1411,-0.1530
-0.2109,0.1394,-0.1543
-0.2124,0.1396,-0.1555
-0.2137,0.1385,-0.1550
-0.2137,0.1391,-0.1553
-0.2130,0.1384,-0.1551
-0.2122,0.1361,-0.1560
-0.2122,0.1360,-0.1562
-0.2115,0.1337,-0.1567
-0.2124,0.1335,-0.1564
-0.2134,0.1340,-0.1575
-0.2144,0.1352,-0.1569
-0.2148,0.1334,-0.1574
-0.2156,0.1357,-0.1587
-0.2152,0.1379,-0.1597
-0.2143,0.1378,-0.1593
-0.2130,0.1363,-0.1596
-0.2132,0.1345,-0.1618
-0.2122,0.1336,-0.1620
-0.2124,0.1347,-0.1629
-0.2124,0.1336,-0.1618
-0.2119,0.1340,-0.1613
-0.2122,0.1319,-0.1620
-0.2118,0.1329,-0.1625
-0.2114,0.1316,-0.1632
-0.2132,0.1300,-0.1622
-0.2147,0.1311,-0.1617
-0.2145,0.1316,-0.1617
-0.2145,0.1329,-0.1615
-0.2135,0.1323,-0.1615
-0.2134,0.1332,-0.1603
-0.2134,0.1347,-0.1611
-0.2136,0.1366,-0.1605
-0.2135,0.1381,-0.1599
-0.2126,0.1380,-0.1601
-0.2113,0.1362,-0.1596
-0.2093,0.1373,-0.1599
-0.2096,0.1383,-0.1598
-0.2097,0.1389,-0.1596
-0.2111,0.1407,-0.1602
-0.2115,0.1397,-0.1599
-0.2121,0.1411,-0.1595
-0.2135,0.1410,-0.1593
-0.2127,0.1412,-0.1585
-0.2111,0.1415,-0.1588
-0.2114,0.1410,-0.1599
-0.2125,0.1419,-0.1596
-0.2115,0.1389,-0.1603
-0.2111,0.1389,-0.1603
-0.2106,0.1401,-0.1595
-0.2103,0.1401,-0.1593
-0.2099,0.1399,-0.1612
-0.2092,0.1376,-0.1607
-0.2098,0.1358,-0.1632
-0.2089,0.1354,-0.1627
-0.2107,0.1345,-0.1613
-0.2126,0.1349,-0.1613
-0.2134,0.1347,-0.1616
-0.2113,0.1327,-0.1619
-0.2116,0.1325,-0.1624
-0.2126,0.1308,-0.1624
-0.2128,0.1298,-0.1624
-0.2126,0.1290,-0.1609
-0.2137,0.1280,-0.1594
-0.2135,0.1284,-0.1591
-0.2138,0.1281,-0.1572
-0.2146,0.1288,-0.1568
-0.2139,0.1302,-0.1554
-0.2138,0.1318,-0.1562
-0.2146,0.1328,-0.1577
-0.2151,0.1324,-0.1571
-0.2156,0.1329,-0.1574
-0.2159,0.1331,-0.1561
-0.2142,0.1311,-0.1559
-0.2138,0.1308,-0.1573
-0.2145,0.1299,-0.1575
-0.2136,0.1302,-0.1576
-0.2131,0.1309,-0.1563
-0.2141,0.1298,-0.1562
-0.2141,0.1281,-0.1571
-0.2140,0.1262,-0.1561
-0.2137,0.1278,-0.1552
-0.2127,0.1270,-0.1554
-0.2133,0.1266,-0.1556
-0.2131,0.1275,-0.1549
-0.2126,0.1272,-0.1570
-0.2123,0.1290,-0.1563
-0.2125,0.1298,-0.1573
-0.2121,0.1305,-0.1587
-0.2116,0.1312,-0.1594
-0.2114,0.1330,-0.1582
-0.2120,0.1334,-0.1584
-0.2112,0.1331,-0.1594
-0.2111,0.1354,-0.1577
-0.2096,0.1338,-0.1571
-0.2085,0.1344,-0.1571
-0.2077,0.1350,-0.1583
-0.2085,0.1358,-0.1584
-0.2093,0.1356,-0.1586
-0.2092,0.1343,-0.1605
-0.2090,0.1346,-0.1610
-0.2084,0.1365,-0.1606
-0.2079,0.1337,-0.1604
-0.2076,0.1315,-0.1604
-0.2094,0.1339,-0.1602
-0.2099,0.1349,-0.1599
-0.2101,0.1365,-0.1607
-0.2101,0.1372,-0.1597
-0.2098,0.1363,-0.1602
-0.2091,0.1351,-0.1589
-0.2085,0.1340,-0.1592
-0.2091,0.1333,-0.1608
-0.2093,0.1344,-0.1604
-0.2101,0.1325,-0.1597
-0.2105,0.1337,-0.1585
-0.2105,0.1339,-0.1586
-0.2091,0.1318,-0.1566
-0.2084,0.1308,-0.1552
-0.2083,0.1312,-0.1556
-0.2080,0.1303,-0.1557
-0.2087,0.1306,-0.1554
-0.2097,0.1297,-0.1551
-0.2087,0.1299,-0.1565
-0.2081,0.1301,-0.1570
-0.2064,0.1299,-0.1577
-0.2062,0.1310,-0.1557
-0.2072,0.1330,-0.1558
-0.2079,0.1323,-0.1561
-0.2107,0.1305,-0.1557
-0.2107,0.1304,-0.1546
-0.2108,0.1292,-0.1548
-0.2111,0.1270,-0.1549
-0.2106,0.1251,-0.1549
-0.2098,0.1277,-0.1542
-0.2097,0.1256,-0.1540
-0.2099,0.1257,-0.1547
-0.2094,0.1267,-0.1551
-0.2078,0.1242,-0.1551
-0.2082,0.1227,-0.1550
-0.2076,0.1225,-0.1541
-0.2072,0.1230,-0.1539
-0.2069,0.1229,-0.1526
-0.2074,0.1228,-0.1527
-0.2072,0.1219,-0.1530
-0.2082,0.1210,-0.1520
-0.2084,0.1211,-0.1516
-0.2082,0.1210,-0.1520
-0.2069,0.1189,-0.1512
-0.2066,0.1194,-0.1519
-0.2070,0.1172,-0.1515
-0.2075,0.1181,-0.1524
-0.2073,0.1196,-0.1531
-0.2078,0.1185,-0.1532
-0.2078,0.1189,-0.1531
-0.2081,0.1158,-0.1534
-0.2083,0.1151,-0.1542
-0.2084,0.1142,-0.1555
-0.2088,0.1157,-0.1553
-0.2089,0.1157,-0.1545
-0.2098,0.1164,-0.1547
-0.2102,0.1180,-0.1557
-0.2097,0.1190,-0.1554
-0.2100,0.1180,-0.1551
-0.2094,0.1174,-0.1547
-0.2092,0.1161,-0.1550
-0.2098,0.1149,-0.1554
-0.2097,0.1151,-0.1548
-0.2097,0.1165,-0.1537
-0.2104,0.1152,-0.1546
-0.2113,0.1181,-0.1539
-0.2107,0.1193,-0.1537
-0.2113,0.1188,-0.1536
-0.2124,0.1188,-0.1543
-0.2123,0.1190,-0.1533
-0.2121,0.1216,-0.1522
-0.2110,0.1233,-0.1521
-0.2106,0.1241,-0.1515
-0.2109,0.1239,-0.1529
-0.2102,0.1241,-0.1519
-0.2103,0.1245,-0.1531
-0.2101,0.1264,-0.1538
-0.2107,0.1275,-0.1527
-0.2099,0.1271,-0.1515
-0.2099,0.1282,-0.1523
-0.2108,0.1254,-0.1512
-0.2111,0.1263,-0.1514
-0.2130,0.1262,-0.1499
-0.2131,0.1250,-0.1490
-0.2137,0.1272,-0.1496
-0.2131,0.1285,-0.1495
-0.2131,0.1299,-0.1491
-0.2120,0.1311,-0.1486
-0.2109,0.1286,-0.1494
-0.2109,0.1280,-0.1485
-0.2115,0.1292,-0.1485
-0.2116,0.1289,-0.1488
-0.2112,0.1287,-0.1494
-0.2114,0.1282,-0.1493
-0.2099,0.1268,-0.1503
-0.2099,0.1248,-0.1500
-0.2099,0.1228,-0.1497
-0.2110,0.1228,-0.1482
-0.2117,0.1223,-0.1482
-0.2122,0.1208,-0.1489
-0.2117,0.1198,-0.1483
-0.2110,0.1185,-0.1503
-0.2100,0.1189,-0.1499
-0.2106,0.1189,-0.1491
-0.2109,0.1180,-0.1487
-0.2115,0.1173,-0.1483
-0.2114,0.1170,-0.1474
-0.2116,0.1173,-0.1486
-0.2111,0.1168,-0.1491
-0.2105,0.1177,-0.1473
-0.2101,0.1180,-0.1462
-0.2096,0.1174,-0.1474
-0.2083,0.1164,-0.1472
-0.2103,0.1177,-0.1477
-0.2105,0.1175,-0.1463
-0.2110,0.1186,-0.1468
-0.2102,0.1173,-0.1465
-0.2084,0.1177,-0.1465
-0.2090,0.1192,-0.1461
-0.2088,0.1197,-0.1459
-0.2094,0.1201,-0.1455
-0.2100,0.1222,-0.1454
-0.2103,0.1232,-0.1464
-0.2116,0.1221,-0.1455
-0.2122,0.1210,-0.1462
-0.2117,0.1213,-0.1468
-0.2116,0.1202,-0.1472
-0.2107,0.1207,-0.1465
-0.2111,0.1207,-0.1472
-0.2097,0.1209,-0.1483
-0.2089,0.1207,-0.1477
-0.2074,0.1208,-0.1481
-0.2074,0.1233,-0.1487
-0.2075,0.1238,-0.1467
-0.2085,0.1256,-0.1475
-0.2096,0.1267,-0.1466
-0.2100,0.1282,-0.1471
-0.2104,0.1296,-0.1464
-0.2109,0.1276,-0.1456
-0.2111,0.1262,-0.1463
-0.2105,0.1272,-0.1473
-0.2106,0.1293,-0.1473
-0.2101,0.1304,-0.1472
-0.2101,0.1279,-0.1470
-0.2111,0.1280,-0.1457
-0.2120,0.1274,-0.1461
-0.2115,0.1272,-0.1450
-0.2115,0.1269,-0.1440
-0.2116,0.1269,-0.1450
-0.2107,0.1269,-0.1459
-0.2102,0.1258,-0.1472
-0.2108,0.1266,-0.1476
-0.2107,0.1265,-0.1481
-0.2101,0.1281,-0.1472
-0.2100,0.1282,-0.1469
-0.2106,0.1282,-0.1475
-0.2108,0.1279,-0.1466
-0.2121,0.1283,-0.1470
-0.2130,0.1285,-0.1462
-0.2134,0.1281,-0.1457
-0.2145,0.1280,-0.1448
-0.2155,0.1284,-0.1454
-0.2165,0.1291,-0.1453
-0.2167,0.1278,-0.1450
-0.2175,0.1294,-0.1448
-0.2187,0.1314,-0.1443
-0.2184,0.1295,-0.1460
-0.2179,0.1303,-0.1460
-0.2181,0.1302,-0.1441
-0.2185,0.1293,-0.1435
-0.2183,0.1313,-0.1420
-0.2174,0.1309,-0.1406
-0.2168,0.1327,-0.1397
-0.2181,0.1330,-0.1401
-0.2186,0.1336,-0.1400
-0.2194,0.1348,-0.1398
-0.2184,0.1339,-0.1406
-0.2187,0.1350,-0.1406
-0.2198,0.1363,-0.1385
-0.2196,0.1368,-0.1389
-0.2201,0.1376,-0.1391
-0.2194,0.1381,-0.1395
-0.2189,0.1388,-0.1387
-0.2178,0.1371,-0.1376
-0.2167,0.1364,-0.1375
-0.2164,0.1366,-0.1374
-0.2173,0.1337,-0.1370
-0.2178,0.1330,-0.1380
-0.2173,0.1327,-0.1375
-0.2161,0.1349,-0.1388
-0.2157,0.1368,-0.1395
-0.2155,0.1380,-0.1397
-0.2156,0.1412,-0.1391
-0.2166,0.1414,-0.1384
-0.2174,0.1427,-0.1383
-0.2180,0.1428,-0.1395
-0.2183,0.1417,-0.1397
-0.2174,0.1397,-0.1394
-0.2180,0.1362,-0.1388
-0.2195,0.1377,-0.1379
-0.2205,0.1365,-0.1384
-0.2213,0.1362,-0.1381
-0.2212,0.1371,-0.1386
-0.2217,0.1365,-0.1391
-0.2223,0.1367,-0.1406
-0.2213,0.1356,-0.1385
-0.2201,0.1370,-0.1386
-0.2201,0.1364,-0.1387
-0.2211,0.1354,-0.1394
-0.2213,0.1358,-0.1386
-0.2206,0.1338,-0.1388
-0.2218,0.1324,-0.1380
-0.2221,0.1317,-0.1373
-0.2218,0.1301,-0.1373
-0.2204,0.1307,-0.1378
-0.2205,0.1302,-0.1378
-0.2222,0.1319,-0.1379
-0.2238,0.1326,-0.1378
-0.2225,0.1324,-0.1379
-0.2223,0.1322,-0.1384
-0.2220,0.1340,-0.1377
-0.2226,0.1324,-0.1375
-0.2226,0.1319,-0.1372
-0.2227,0.1316,-0.1374
-0.2246,0.1331,-0.1371
-0.2242,0.1327,-0.1376
-0.2238,0.1343,-0.1376
-0.2214,0.1334,-0.1363
-0.2206,0.1331,-0.1368
-0.2208,0.1346,-0.1365
-0.2213,0.1349,-0.1365
-0.2203,0.1332,-0.1389
-0.2187,0.1336,-0.1398
-0.2186,0.1334,-0.1391
-0.2184,0.1360,-0.1393
-0.2191,0.1359,-0.1401
-0.2191,0.1341,-0.1401
-0.2200,0.1346,-0.1418
-0.2203,0.1345,-0.1409
-0.2213,0.1353,-0.1399
-0.2211,0.1351,-0.1383
-0.2214,0.1344,-0.1376
-0.2220,0.1335,-0.1372
-0.2210,0.1319,-0.1369
-0.2198,0.1316,-0.1368
-0.2194,0.1318,-0.1357
-0.2204,0.1328,-0.1352
-0.2206,0.1321,-0.1348
-0.2205,0.1319,-0.1347
-0.2216,0.1335,-0.1341
-0.2212,0.1317,-0.1339
-0.2209,0.1316,-0.1352
-0.2200,0.1299,-0.1350
-0.2203,0.1277,-0.1352
-0.2212,0.1294,-0.1355
-0.2211,0.1309,-0.1353
-0.2217,0.1318,-0.1350
-0.2209,0.1305,-0.1351
-0.2205,0.1317,-0.1348
-0.2186,0.1338,-0.1341
-0.2182,0.1331,-0.1333
-0.2184,0.1343,-0.1317
-0.2199,0.1348,-0.1327
-0.2208,0.1341,-0.1336
-0.2217,0.1361,-0.1343
-0.2214,0.1347,-0.1328
-0.2207,0.1351,-0.1323
-0.2207,0.1356,-0.1315
-0.2202,0.1353,-0.1309
-0.2215,0.1364,-0.1308
-0.2219,0.1377,-0.1314
-0.2223,0.1392,-0.1311
-0.2219,0.1403,-0.1315
-0.2216,0.1422,-0.1320
-0.2204,0.1403,-0.1305
-0.2200,0.1417,-0.1312
-0.2196,0.1411,-0.1320
-0.2202,0.1377,-0.1316
-0.2203,0.1385,-0.1304
-0.2214,0.1391,-0.1305
-0.2234,0.1373,-0.1314
-0.2247,0.1381,-0.1310
-0.2252,0.1394,-0.1319
-0.2252,0.1397,-0.1319
-0.2263,0.1404,-0.1320
-0.2260,0.1417,-0.1316
-0.2251,0.1416,-0.1310
-0.2252,0.1408,-0.1309
-0.2249,0.1412,-0.1312
-0.2234,0.1414,-0.1329
-0.2225,0.1410,-0.1321
-0.2215,0.1416,-0.1332
-0.2216,0.1403,-0.1330
-0.2224,0.1403,-0.1337
-0.2237,0.1382,-0.1320
-0.2237,0.1392,-0.1331
-0.2229,0.1384,-0.1315
-0.2232,0.1392,-0.1309
-0.2225,0.1399,-0.1309
-0.2244,0.1390,-0.1302
-0.2255,0.1361,-0.1310
-0.2260,0.1381,-0.1309
-0.2261,0.1366,-0.1315
-0.2269,0.1351,-0.1312
-0.2255,0.1369,-0.1318
-0.2257,0.1364,-0.1318
-0.2256,0.1351,-0.1310
-0.2252,0.1337,-0.1313
-0.2246,0.1335,-0.1301
-0.2236,0.1356,-0.1285
-0.2224,0.1363,-0.1301
-0.2222,0.1351,-0.1299
-0.2211,0.1354,-0.1304
-0.2207,0.1350,-0.1313
-0.2223,0.1346,-0.1310
-0.2244,0.1374,-0.1307
-0.2259,0.1387,-0.1289
-0.2251,0.1407,-0.1295
-0.2239,0.1410,-0.1295
-0.2221,0.1407,-0.1285
-0.2220,0.1413,-0.1281
-0.2229,0.1428,-0.1274
-0.2227,0.1441,-0.1264
-0.2222,0.1444,-0.1267
-0.2212,0.1446,-0.1261
-0.2220,0.1464,-0.1252
-0.2224,0.1473,-0.1257
-0.2220,0.1476,-0.1267
-0.2228,0.1466,-0.1272
-0.2235,0.1473,-0.1253
-0.2230,0.1450,-0.1257
-0.2224,0.1439,-0.1247
-0.2234,0.1440,-0.1251
-0.2231,0.1433,-0.1236
-0.2226,0.1417,-0.1238
-0.2224,0.1408,-0.1238
-0.2214,0.1400,-0.1237
-0.2217,0.1429,-0.1240
-0.2222,0.1425,-0.1236
-0.2211,0.1401,-0.1248
-0.2202,0.1397,-0.1242
-0.2185,0.1391,-0.1234
-0.2182,0.1359,-0.1241
-0.2170,0.1350,-0.1233
-0.2165,0.1339,-0.1237
-0.2174,0.1335,-0.1255
-0.2153,0.1333,-0.1269
-0.2141,0.1326,-0.1253
-0.2133,0.1318,-0.1260
-0.2131,0.1310,-0.1249
-0.2139,0.1306,-0.1249
-0.2139,0.1311,-0.1241
-0.2144,0.1325,-0.1240
-0.2139,0.1310,-0.1233
-0.2137,0.1301,-0.1237
-0.2132,0.1279,-0.1241
-0.2115,0.1273,-0.1252
-0.2117,0.1266,-0.1247
-0.2116,0.1249,-0.1251
-0.2111,0.1266,-0.1260
-0.2103,0.1288,-0.1254
-0.2097,0.1275,-0.1254
-0.2087,0.1259,-0.1251
-0.2094,0.1218,-0.1246
-0.2085,0.1237,-0.1244
-0.2077,0.1231,-0.1243
-0.2089,0.1228,-0.1250
-0.2097,0.1216,-0.1246
-0.2105,0.1215,-0.1250
-0.2107,0.1220,-0.1233
-0.2099,0.1246,-0.1234
-0.2101,0.1240,-0.1228
-0.2106,0.1244,-0.1230
-0.2108,0.1246,-0.1226
-0.2122,0.1234,-0.1216
-0.2130,0.1218,-0.1217
-0.2144,0.1230,-0.1219
-0.2132,0.1237,-0.1217
-0.2136,0.1237,-0.1221
-0.2139,0.1248,-0.1217
-0.2137,0.1244,-0.1195
-0.2141,0.1249,-0.1207
-0.2136,0.1264,-0.1216
-0.2139,0.1260,-0.1215
-0.2145,0.1295,-0.1204
-0.2133,0.1291,-0.1194
-0.2138,0.1269,-0.1197
-0.2143,0.1296,-0.1198
-0.2156,0.1312,-0.1196
-0.2178,0.1318,-0.1193
-0.2184,0.1316,-0.1198
-0.2192,0.1302,-0.1187
-0.2198,0.1298,-0.1193
-0.2207,0.1312,-0.1186
-0.2203,0.1319,-0.1185
-0.2219,0.1321,-0.1183
-0.2222,0.1315,-0.1194
-0.2233,0.1296,-0.1185
-0.2238,0.1288,-0.1180
-0.2234,0.1277,-0.1191
-0.2240,0.1273,-0.1198
-0.2247,0.1261,-0.1200
-0.2258,0.1252,-0.1197
-0.2261,0.1248,-0.1206
-0.2259,0.1259,-0.1205
-0.2260,0.1244,-0.1191
-0.2258,0.1252,-0.1206
-0.2259,0.1265,-0.1207
-0.2242,0.1263,-0.1201
-0.2249,0.1263,-0.1205
-0.2240,0.1253,-0.1204
-0.2246,0.1239,-0.1214
-0.2235,0.1236,-0.1220
-0.2226,0.1211,-0.1208
-0.2215,0.1206,-0.1209
-0.2215,0.1195,-0.1215
-0.2225,0.1197,-0.1218
-0.2222,0.1192,-0.1223
-0.2227,0.1184,-0.1211
-0.2236,0.1181,-0.1207
-0.2227,0.1162,-0.1215
-0.2226,0.1152,-0.1212
-0.2237,0.1148,-0.1203
-0.2240,0.1153,-0.1208
-0.2246,0.1165,-0.1208
-0.2244,0.1193,-0.1194
-0.2250,0.1205,-0.1185
-0.2250,0.1214,-0.1170
-0.2246,0.1213,-0.1176
-0.2246,0.1195,-0.1181
-0.2237,0.1172,-0.1175
-0.2235,0.1180,-0.1171
-0.2238,0.1178,-0.1180
-0.2247,0.1168,-0.1185
-0.2262,0.1189,-0.1186
-0.2259,0.1178,-0.1177
-0.2253,0.1202,-0.1171
-0.2241,0.1178,-0.1173
-0.2227,0.1164,-0.1170
-0.2230,0.1163,-0.1160
-0.2237,0.1167,-0.1152
-0.2231,0.1156,-0.1162
-0.2237,0.1167,-0.1163
-0.2244,0.1173,-0.1164
-0.2248,0.1179,-0.1166
-0.2242,0.1175,-0.1161
-0.2248,0.1177,-0.1163
-0.2234,0.1165,-0.1171
-0.2236,0.1181,-0.1171
-0.2248,0.1192,-0.1177
-0.2252,0.1179,-0.1175
-0.2242,0.1164,-0.1173
-0.2245,0.1159,-0.1176
-0.2243,0.1160,-0.1171
-0.2246,0.1171,-0.1177
-0.2229,0.1156,-0.1172
-0.2229,0.1149,-0.1168
-0.2240,0.1136,-0.1167
-0.2232,0.1133,-0.1180
-0.2212,0.1145,-0.1178
-0.2205,0.1142,-0.1186
-0.2220,0.1148,-0.1177
-0.2214,0.1149,-0.1168
-0.2214,0.1157,-0.1169
-0.2217,0.1165,-0.1150
-0.2218,0.1165,-0.1134
-0.2225,0.1176,-0.1132
-0.2215,0.1148,-0.1132
-0.2220,0.1133,-0.1129
-0.2225,0.1109,-0.1132
-0.2236,0.1090,-0.1130
-0.2240,0.1094,-0.1117
-0.2246,0.1076,-0.1130
-0.2247,0.1090,-0.1115
-0.2239,0.1084,-0.1119
-0.2223,0.1080,-0.1130
-0.2227,0.1069,-0.1149
-0.2222,0.1063,-0.1141
-0.2232,0.1054,-0.1141
-0.2229,0.1054,-0.1146
-0.2226,0.1064,-0.1140
-0.2220,0.1067,-0.1131
-0.2208,0.1077,-0.1137
-0.2213,0.1080,-0.1137
-0.2212,0.1073,-0.1139
-0.2211,0.1080,-0.1139
-0.2212,0.1083,-0.1148
-0.2203,0.1079,-0.1154
-0.2191,0.1074,-0.1157
-0.2179,0.1099,-0.1153
-0.2168,0.1088,-0.1150
-0.2163,0.1078,-0.1152
-0.2166,0.1074,-0.1143
-0.2169,0.1071,-0.1145
-0.2172,0.1082,-0.1139
-0.2171,0.1104,-0.1135
-0.2173,0.1086,-0.1126
-0.2169,0.1092,-0.1128
-0.2173,0.1102,-0.1118
-0.2178,0.1099,-0.1115
