target_angle,angle,target_speed,speed,I4,I5
0.000000,1458.000000,207.000000,209.000000,16844.195313,0.000000
0.000000,1832.000000,205.000000,210.000000,16731.595703,0.000000
0.000000,2200.000000,202.000000,201.000000,16022.996094,0.000000
0.000000,2555.000000,200.000000,200.000000,16064.996094,0.000000
0.000000,2920.000000,198.000000,194.000000,15347.996094,0.000000
0.000000,3263.000000,195.000000,186.000000,15055.396484,0.000000
0.000000,3613.000000,193.000000,199.000000,15361.796875,0.000000
0.000000,3963.000000,190.000000,194.000000,15105.997070,0.000000
0.000000,4297.000000,188.000000,186.000000,15167.796875,0.000000
0.000000,4626.000000,185.000000,187.000000,15403.997070,0.000000
0.000000,4954.000000,183.000000,179.000000,15007.596680,0.000000
0.000000,5274.000000,180.000000,182.000000,15029.997070,0.000000
0.000000,5613.000000,177.000000,195.000000,14790.997070,0.000000
0.000000,5935.000000,174.000000,177.000000,14040.197266,0.000000
0.000000,6250.000000,171.000000,173.000000,13654.796875,0.000000
0.000000,6561.000000,169.000000,162.000000,12962.997070,0.000000
0.000000,6850.000000,166.000000,167.000000,13243.997070,0.000000
0.000000,7147.000000,163.000000,168.000000,13421.197266,0.000000
0.000000,7440.000000,160.000000,159.000000,12645.197266,0.000000
0.000000,7725.000000,157.000000,155.000000,12355.397461,0.000000
0.000000,8004.000000,154.000000,163.000000,12518.397461,0.000000
0.000000,84.000000,151.000000,153.000000,12318.797852,0.000000
0.000000,353.000000,147.000000,144.000000,11851.998047,0.000000
0.000000,608.000000,144.000000,141.000000,11879.998047,0.000000
0.000000,861.000000,141.000000,141.000000,11593.198242,0.000000
0.000000,1118.000000,138.000000,145.000000,11418.797852,0.000000
0.000000,1365.000000,134.000000,140.000000,11238.797852,0.000000
0.000000,1605.000000,131.000000,133.000000,11154.397461,0.000000
0.000000,1852.000000,128.000000,143.000000,10920.997070,0.000000
0.000000,2087.000000,124.000000,128.000000,10217.997070,0.000000
0.000000,2310.000000,121.000000,123.000000,10020.997070,0.000000
0.000000,2526.000000,118.000000,121.000000,9939.397461,0.000000
0.000000,2755.000000,114.000000,128.000000,9562.597656,0.000000
0.000000,2967.000000,111.000000,119.000000,9298.197266,0.000000
0.000000,3167.000000,107.000000,111.000000,8741.397461,0.000000
0.000000,3356.000000,103.000000,108.000000,8679.397461,0.000000
0.000000,3552.000000,100.000000,105.000000,8159.197266,0.000000
0.000000,3728.000000,96.000000,98.000000,7855.397461,0.000000
0.000000,3903.000000,93.000000,89.000000,7444.797363,0.000000
0.000000,4064.000000,89.000000,86.000000,7087.597168,0.000000
0.000000,4213.000000,85.000000,84.000000,7157.797363,0.000000
0.000000,4365.000000,82.000000,79.000000,6963.797363,0.000000
0.000000,4511.000000,78.000000,78.000000,6879.397461,0.000000
0.000000,4652.000000,74.000000,81.000000,6502.597656,0.000000
0.000000,4788.000000,70.000000,76.000000,6190.397461,0.000000
0.000000,4913.000000,67.000000,73.000000,6114.397461,0.000000
0.000000,5036.000000,63.000000,65.000000,5785.397461,0.000000
0.000000,5156.000000,59.000000,70.000000,5613.797363,0.000000
0.000000,5265.000000,55.000000,59.000000,5242.597168,0.000000
0.000000,5371.000000,51.000000,58.000000,4834.797363,0.000000
0.000000,5471.000000,48.000000,53.000000,4286.397461,0.000000
0.000000,5560.000000,44.000000,43.000000,3746.397461,0.000000
0.000000,5640.000000,40.000000,43.000000,3588.797363,0.000000
0.000000,5707.000000,36.000000,33.000000,3265.397461,0.000000
0.000000,5772.000000,32.000000,36.000000,3189.397461,0.000000
0.000000,5835.000000,28.000000,33.000000,2860.397461,0.000000
0.000000,5891.000000,24.000000,28.000000,2354.197510,0.000000
0.000000,5932.000000,20.000000,23.000000,2193.797607,0.000000
0.000000,5975.000000,16.000000,23.000000,1822.597656,0.000000
0.000000,6005.000000,12.000000,13.000000,1414.797607,0.000000
0.000000,6026.000000,9.000000,11.000000,1296.597656,0.000000
0.000000,6043.000000,5.000000,9.000000,1065.997681,0.000000
0.000000,6056.000000,1.000000,4.000000,697.597656,0.000000
0.000000,6062.000000,-2.000000,0.000000,385.397644,0.000000
0.000000,6061.000000,-6.000000,-2.000000,118.197632,0.000000
0.000000,6056.000000,-10.000000,-5.000000,-343.002380,0.000000
0.000000,6048.000000,-14.000000,-8.000000,-793.002380,0.000000
0.000000,6030.000000,-18.000000,-12.000000,-1290.802368,0.000000
0.000000,6004.000000,-22.000000,-17.000000,-1642.402344,0.000000
0.000000,5969.000000,-26.000000,-22.000000,-2002.402344,0.000000
0.000000,5924.000000,-30.000000,-28.000000,-2362.402344,0.000000
0.000000,5878.000000,-34.000000,-28.000000,-2674.602295,0.000000
0.000000,5827.000000,-37.000000,-31.000000,-3133.002197,0.000000
0.000000,5763.000000,-41.000000,-37.000000,-3391.802246,0.000000
0.000000,5687.000000,-45.000000,-48.000000,-3709.602295,0.000000
0.000000,5601.000000,-49.000000,-52.000000,-3785.602295,0.000000
0.000000,5521.000000,-53.000000,-46.000000,-4019.002197,0.000000
0.000000,5425.000000,-57.000000,-63.000000,-4626.402344,0.000000
0.000000,5328.000000,-60.000000,-59.000000,-4924.602539,0.000000
0.000000,5221.000000,-64.000000,-65.000000,-5144.002441,0.000000
0.000000,5110.000000,-68.000000,-66.000000,-5321.202637,0.000000
0.000000,5004.000000,-72.000000,-60.000000,-5740.202637,0.000000
0.000000,4882.000000,-76.000000,-69.000000,-6001.802734,0.000000
0.000000,4750.000000,-79.000000,-82.000000,-6367.402832,0.000000
0.000000,4614.000000,-83.000000,-81.000000,-6727.402832,0.000000
0.000000,4470.000000,-87.000000,-86.000000,-7135.202637,0.000000
0.000000,4317.000000,-90.000000,-89.000000,-7444.602539,0.000000
0.000000,4161.000000,-94.000000,-86.000000,-7616.202637,0.000000
0.000000,3996.000000,-98.000000,-94.000000,-7891.802734,0.000000
0.000000,3823.000000,-101.000000,-100.000000,-8114.002930,0.000000
0.000000,3635.000000,-105.000000,-107.000000,-8339.002930,0.000000
0.000000,3444.000000,-108.000000,-108.000000,-8420.602539,0.000000
0.000000,3259.000000,-112.000000,-103.000000,-8367.202148,0.000000
0.000000,3068.000000,-115.000000,-111.000000,-8752.402344,0.000000
0.000000,2872.000000,-119.000000,-113.000000,-9399.202148,0.000000
0.000000,2656.000000,-122.000000,-129.000000,-9694.602539,0.000000
0.000000,2445.000000,-126.000000,-119.000000,-9388.202148,0.000000
0.000000,2228.000000,-129.000000,-130.000000,-10026.402344,0.000000
0.000000,2007.000000,-132.000000,-131.000000,-10850.402344,0.000000
0.000000,1757.000000,-136.000000,-146.000000,-10800.001953,0.000000
0.000000,1519.000000,-139.000000,-141.000000,-11325.801758,0.000000
0.000000,1275.000000,-142.000000,-138.000000,-11342.801758,0.000000
0.000000,1016.000000,-145.000000,-152.000000,-11674.601563,0.000000
0.000000,761.000000,-149.000000,-145.000000,-11846.201172,0.000000
0.000000,503.000000,-152.000000,-142.000000,-12074.000977,0.000000
0.000000,238.000000,-155.000000,-156.000000,-12585.800781,0.000000
0.000000,8152.000000,-158.000000,-158.000000,-12698.400391,0.000000
0.000000,7870.000000,-161.000000,-164.000000,-12833.400391,0.000000
0.000000,7580.000000,-164.000000,-166.000000,-13111.800781,0.000000
0.000000,7289.000000,-167.000000,-166.000000,-13190.600586,0.000000
0.000000,6991.000000,-170.000000,-165.000000,-13041.600586,0.000000
0.000000,6696.000000,-173.000000,-173.000000,-13528.000977,0.000000
0.000000,6387.000000,-175.000000,-177.000000,-14025.800781,0.000000
0.000000,6072.000000,-178.000000,-173.000000,-13421.400391,0.000000
0.000000,5767.000000,-181.000000,-168.000000,-13789.600586,0.000000
0.000000,5442.000000,-184.000000,-185.000000,-14391.400391,0.000000
0.000000,5123.000000,-186.000000,-180.000000,-14498.400391,0.000000
0.000000,4812.000000,-189.000000,-179.000000,-15063.600586,0.000000
0.000000,4480.000000,-191.000000,-184.000000,-15173.400391,0.000000
0.000000,4152.000000,-194.000000,-189.000000,-15690.800781,0.000000
0.000000,3802.000000,-196.000000,-203.000000,-16042.400391,0.000000
0.000000,3431.000000,-199.000000,-205.000000,-15589.800781,0.000000
0.000000,3080.000000,-201.000000,-198.000000,-15519.400391,0.000000
0.000000,2730.000000,-203.000000,-196.000000,-15811.800781,0.000000
0.000000,2376.000000,-206.000000,-192.000000,-15508.201172,0.000000
0.000000,2030.000000,-208.000000,-197.000000,-16098.601563,0.000000
0.000000,1661.000000,-210.000000,-210.000000,-16399.601563,0.000000
0.000000,1296.000000,-212.000000,-203.000000,-16714.601563,0.000000
0.000000,916.000000,-214.000000,-218.000000,-17029.601563,0.000000
0.000000,541.000000,-216.000000,-214.000000,-17249.001953,0.000000
0.000000,162.000000,-218.000000,-225.000000,-17904.201172,0.000000
0.000000,7958.000000,-220.000000,-223.000000,-17769.400391,0.000000
0.000000,7561.000000,-222.000000,-225.000000,-17583.800781,0.000000
0.000000,7162.000000,-223.000000,-229.000000,-17595.000000,0.000000
0.000000,6762.000000,-225.000000,-224.000000,-17403.800781,0.000000
0.000000,6369.000000,-227.000000,-230.000000,-17940.800781,0.000000
0.000000,5964.000000,-228.000000,-226.000000,-17097.400391,0.000000
0.000000,5570.000000,-230.000000,-225.000000,-17527.400391,0.000000
0.000000,5174.000000,-231.000000,-219.000000,-17648.400391,0.000000
0.000000,4791.000000,-233.000000,-219.000000,-18213.599609,0.000000
0.000000,4390.000000,-234.000000,-224.000000,-18514.599609,0.000000
0.000000,3987.000000,-236.000000,-226.000000,-18973.000000,0.000000
0.000000,3555.000000,-237.000000,-245.000000,-18706.000000,0.000000
0.000000,3134.000000,-238.000000,-229.000000,-18146.400391,0.000000
0.000000,2718.000000,-239.000000,-229.000000,-18466.800781,0.000000
0.000000,2306.000000,-240.000000,-227.000000,-18067.601563,0.000000
0.000000,1896.000000,-241.000000,-233.000000,-18520.201172,0.000000
0.000000,1482.000000,-242.000000,-231.000000,-18399.400391,0.000000
0.000000,1065.000000,-243.000000,-238.000000,-19074.201172,0.000000
0.000000,643.000000,-244.000000,-237.000000,-19035.001953,0.000000
0.000000,223.000000,-245.000000,-242.000000,-19513.001953,0.000000
0.000000,7983.000000,-246.000000,-247.000000,-19580.601563,0.000000
0.000000,7544.000000,-246.000000,-249.000000,-19383.800781,0.000000
0.000000,7099.000000,-247.000000,-255.000000,-19490.601563,0.000000
0.000000,6664.000000,-247.000000,-250.000000,-19532.800781,0.000000
0.000000,6213.000000,-248.000000,-269.000000,-19864.601563,0.000000
0.000000,5765.000000,-248.000000,-246.000000,-19510.402344,0.000000
0.000000,5314.000000,-249.000000,-259.000000,-19769.001953,0.000000
0.000000,4887.000000,-249.000000,-234.000000,-19802.802734,0.000000
0.000000,4452.000000,-249.000000,-244.000000,-20039.001953,0.000000
0.000000,4018.000000,-249.000000,-239.000000,-20120.601563,0.000000
0.000000,3561.000000,-249.000000,-257.000000,-19732.601563,0.000000
0.000000,3115.000000,-249.000000,-241.000000,-19038.001953,0.000000
0.000000,2680.000000,-249.000000,-242.000000,-19271.201172,0.000000
0.000000,2248.000000,-249.000000,-240.000000,-18782.001953,0.000000
0.000000,1819.000000,-249.000000,-257.000000,-19670.402344,0.000000
0.000000,1387.000000,-249.000000,-244.000000,-19189.802734,0.000000
0.000000,947.000000,-249.000000,-259.000000,-19979.802734,0.000000
0.000000,511.000000,-249.000000,-248.000000,-19935.001953,0.000000
0.000000,70.000000,-248.000000,-255.000000,-20460.802734,0.000000
0.000000,7809.000000,-248.000000,-259.000000,-20191.001953,0.000000
0.000000,7355.000000,-247.000000,-252.000000,-19774.802734,0.000000
0.000000,6909.000000,-247.000000,-246.000000,-19369.802734,0.000000
0.000000,6478.000000,-246.000000,-239.000000,-19156.001953,0.000000
0.000000,6036.000000,-245.000000,-240.000000,-18692.001953,0.000000
0.000000,5613.000000,-245.000000,-233.000000,-18672.201172,0.000000
0.000000,5188.000000,-244.000000,-232.000000,-18627.201172,0.000000
0.000000,4783.000000,-243.000000,-232.000000,-19203.601563,0.000000
0.000000,4364.000000,-242.000000,-233.000000,-19265.601563,0.000000
0.000000,3945.000000,-241.000000,-235.000000,-19451.201172,0.000000
0.000000,3501.000000,-240.000000,-250.000000,-19057.601563,0.000000
0.000000,3072.000000,-239.000000,-235.000000,-18315.201172,0.000000
0.000000,2651.000000,-238.000000,-240.000000,-18599.001953,0.000000
0.000000,2235.000000,-236.000000,-232.000000,-18250.402344,0.000000
0.000000,1821.000000,-235.000000,-245.000000,-18843.601563,0.000000
0.000000,1407.000000,-234.000000,-232.000000,-18236.402344,0.000000
0.000000,996.000000,-232.000000,-242.000000,-18700.203125,0.000000
0.000000,583.000000,-231.000000,-231.000000,-18436.003906,0.000000
0.000000,182.000000,-229.000000,-233.000000,-18784.603516,0.000000
0.000000,7960.000000,-228.000000,-232.000000,-18526.003906,0.000000
0.000000,7547.000000,-226.000000,-233.000000,-18109.804688,0.000000
0.000000,7135.000000,-225.000000,-235.000000,-17943.804688,0.000000
0.000000,6734.000000,-223.000000,-228.000000,-17572.605469,0.000000
0.000000,6332.000000,-221.000000,-232.000000,-17881.804688,0.000000
0.000000,5927.000000,-219.000000,-226.000000,-17052.404297,0.000000
0.000000,5541.000000,-217.000000,-231.000000,-17291.205078,0.000000
0.000000,5159.000000,-215.000000,-208.000000,-16658.605469,0.000000
0.000000,4800.000000,-213.000000,-204.000000,-16886.205078,0.000000
0.000000,4432.000000,-211.000000,-204.000000,-16827.205078,0.000000
0.000000,4068.000000,-209.000000,-201.000000,-17069.005859,0.000000
0.000000,3684.000000,-207.000000,-217.000000,-16959.406250,0.000000
0.000000,3298.000000,-205.000000,-217.000000,-16248.005859,0.000000
0.000000,2933.000000,-203.000000,-208.000000,-16242.206055,0.000000
0.000000,2560.000000,-200.000000,-218.000000,-16149.406250,0.000000
0.000000,2204.000000,-198.000000,-205.000000,-16155.005859,0.000000
0.000000,1843.000000,-195.000000,-212.000000,-16107.206055,0.000000
0.000000,1492.000000,-193.000000,-193.000000,-15201.805664,0.000000
0.000000,1158.000000,-190.000000,-189.000000,-15255.005859,0.000000
0.000000,819.000000,-188.000000,-185.000000,-14777.005859,0.000000
0.000000,498.000000,-185.000000,-181.000000,-14852.805664,0.000000
0.000000,172.000000,-183.000000,-190.000000,-15136.805664,0.000000
0.000000,8034.000000,-180.000000,-184.000000,-14785.405273,0.000000
0.000000,7709.000000,-177.000000,-180.000000,-14279.205078,0.000000
0.000000,7392.000000,-174.000000,-176.000000,-13927.605469,0.000000
0.000000,7074.000000,-172.000000,-180.000000,-13806.605469,0.000000
0.000000,6764.000000,-169.000000,-175.000000,-13623.805664,0.000000
0.000000,6468.000000,-166.000000,-172.000000,-13730.605469,0.000000
0.000000,6158.000000,-163.000000,-162.000000,-12864.605469,0.000000
0.000000,5869.000000,-160.000000,-166.000000,-12580.405273,0.000000
0.000000,5581.000000,-157.000000,-170.000000,-12839.004883,0.000000
0.000000,5296.000000,-154.000000,-155.000000,-12394.804688,0.000000
0.000000,5031.000000,-151.000000,-151.000000,-12228.804688,0.000000
0.000000,4766.000000,-148.000000,-150.000000,-12383.404297,0.000000
0.000000,4503.000000,-144.000000,-143.000000,-11849.204102,0.000000
0.000000,4248.000000,-141.000000,-145.000000,-11927.803711,0.000000
0.000000,3996.000000,-138.000000,-142.000000,-11781.603516,0.000000
0.000000,3738.000000,-135.000000,-141.000000,-11168.603516,0.000000
0.000000,3488.000000,-131.000000,-137.000000,-10488.003906,0.000000
0.000000,3258.000000,-128.000000,-124.000000,-9908.603516,0.000000
0.000000,3037.000000,-125.000000,-126.000000,-9801.603516,0.000000
0.000000,2822.000000,-121.000000,-119.000000,-9714.403320,0.000000
0.000000,2595.000000,-118.000000,-125.000000,-9528.803711,0.000000
0.000000,2390.000000,-114.000000,-116.000000,-9635.603516,0.000000
0.000000,2186.000000,-111.000000,-111.000000,-9199.803711,0.000000
